date,ligne_production,produit,quart,operateur,unites_produites,unites_defectueuses,taux_defaut_pct,temps_arret_minutes,heures_travaillees,cout_materiaux,cout_main_oeuvre,cout_energie,cout_rebuts,cout_total_production,cout_par_unite_bonne,maintenance_effectuee,age_machine_annees,energie_kwh
2024-01-01,Ligne D,Produit Z1,Soir,OP010,327,9,2.85,36.6,3.44,5710.27,137.94,59.0,94.3,6001.51,18.81,0,12.5,491.7
2024-01-01,Ligne C,Produit X2,Jour,OP007,584,38,6.61,23.6,4.04,8229.2,141.46,134.93,321.28,8826.87,16.14,1,10.8,1124.4
2024-01-02,Ligne C,Produit X2,Soir,OP011,222,9,4.29,1.6,2.6,3216.57,90.06,20.95,78.24,3405.82,15.92,1,7.3,174.6
2024-01-02,Ligne A,Produit X1,Nuit,OP019,456,30,6.62,23.4,3.5,8232.21,128.65,41.2,324.96,8727.01,20.44,0,3.1,343.3
2024-01-03,Ligne B,Produit X1,Soir,OP018,316,13,4.25,41.4,2.38,3872.1,82.08,32.42,95.58,4082.18,13.43,0,7.4,270.2
2024-01-03,Ligne C,Produit Y2,Jour,OP013,452,14,3.11,44.3,3.21,5742.78,114.03,38.27,106.72,6001.8,13.67,0,7.5,318.9
2024-01-03,Ligne C,Produit X2,Soir,OP001,895,54,6.08,29.2,7.67,8617.11,231.77,169.08,311.95,9329.91,11.08,0,14.1,1409.0
2024-01-03,Ligne D,Produit Z1,Jour,OP019,1494,27,1.86,46.2,11.38,34721.56,505.65,205.75,376.5,35809.46,24.39,0,5.2,1714.6
2024-01-04,Ligne D,Produit Y1,Jour,OP016,1168,9,0.84,3.1,12.24,15378.26,424.32,247.29,71.1,16120.96,13.9,0,7.0,2060.8
2024-01-04,Ligne B,Produit X2,Nuit,OP018,1166,63,5.43,1.3,13.87,12097.94,455.29,70.38,392.2,13015.81,11.79,0,1.6,586.5
2024-01-06,Ligne D,Produit X1,Soir,OP007,621,12,2.04,32.4,6.22,7800.72,183.18,57.03,90.44,8131.37,13.33,1,7.8,475.3
2024-01-06,Ligne C,Produit Z1,Soir,OP014,1029,65,6.33,135.1,7.02,14505.4,204.28,160.33,549.77,15419.78,15.98,1,8.6,1336.1
2024-01-07,Ligne C,Produit Y2,Jour,OP016,1305,47,3.63,133.4,15.25,22281.07,601.92,285.37,481.48,23649.83,18.78,0,2.2,2378.1
2024-01-07,Ligne A,Produit X1,Nuit,OP019,527,14,2.84,0.3,4.13,8004.49,160.15,80.45,127.59,8372.68,16.29,0,6.5,670.4
2024-01-07,Ligne B,Produit Y1,Soir,OP011,916,35,3.89,14.9,7.44,11267.1,279.35,163.9,258.31,11968.66,13.57,0,8.8,1365.9
2024-01-08,Ligne A,Produit X1,Jour,OP018,1244,46,3.76,20.1,12.16,17627.43,543.36,295.3,391.09,18857.18,15.73,0,12.0,2460.8
2024-01-08,Ligne A,Produit X1,Jour,OP009,1045,26,2.54,7.7,7.08,23472.82,204.36,88.17,350.41,24115.76,23.64,0,5.8,734.7
2024-01-08,Ligne B,Produit Y2,Soir,OP019,556,16,3.05,73.6,3.84,8873.59,170.2,131.59,153.21,9328.6,17.24,0,4.0,1096.6
2024-01-09,Ligne A,Produit X2,Jour,OP016,526,21,4.13,1.7,5.93,10052.15,232.48,96.27,240.79,10621.7,20.99,1,10.2,802.3
2024-01-09,Ligne C,Produit X2,Jour,OP018,1432,94,6.6,22.5,13.31,32447.81,418.4,233.53,1277.97,34377.72,25.67,0,3.1,1946.1
2024-01-10,Ligne B,Produit Y2,Jour,OP003,523,9,1.89,39.0,4.32,4628.4,150.38,115.31,47.79,4941.87,9.6,0,2.6,960.9
2024-01-10,Ligne B,Produit X2,Jour,OP015,502,10,2.19,8.9,4.43,5367.56,152.26,64.79,64.15,5648.77,11.46,0,8.3,540.0
2024-01-10,Ligne B,Produit X2,Nuit,OP008,1369,28,2.07,24.4,11.21,17189.37,446.75,192.13,210.94,18039.2,13.44,0,14.7,1601.0
2024-01-11,Ligne A,Produit Y2,Jour,OP018,998,29,2.96,141.1,7.53,10474.56,263.08,201.57,182.62,11121.83,11.47,1,5.0,1679.8
2024-01-12,Ligne D,Produit X1,Nuit,OP011,1336,40,3.0,11.5,13.74,20734.07,386.73,298.87,372.47,21792.14,16.8,0,10.5,2490.6
2024-01-13,Ligne A,Produit X1,Soir,OP020,580,17,2.99,69.6,5.81,14167.9,218.16,49.19,249.16,14684.42,26.04,0,8.4,410.0
2024-01-13,Ligne A,Produit Z1,Jour,OP014,783,15,1.96,149.0,5.69,18835.41,225.36,60.05,216.5,19337.32,25.15,0,3.2,500.4
2024-01-15,Ligne D,Produit X2,Soir,OP001,1081,16,1.55,3.6,10.48,25850.22,380.12,153.65,229.57,26613.56,24.97,0,14.4,1280.4
2024-01-15,Ligne C,Produit Z1,Jour,OP015,980,41,4.23,33.0,9.49,20063.25,367.49,210.77,503.63,21145.14,22.49,0,14.3,1756.4
2024-01-15,Ligne B,Produit X1,Nuit,OP019,1227,35,2.87,34.1,12.85,27920.86,473.61,162.78,477.86,29035.11,24.34,1,7.0,1356.5
2024-01-16,Ligne A,Produit Z1,Nuit,OP016,1386,100,7.22,47.7,9.6,17806.92,379.69,173.09,770.86,19130.56,14.86,0,7.8,1442.5
2024-01-16,Ligne B,Produit X1,Jour,OP010,861,20,2.37,155.7,10.29,20623.05,406.92,181.78,287.43,21499.18,25.53,1,12.5,1514.9
2024-01-16,Ligne C,Produit Y2,Jour,OP002,988,74,7.51,77.7,9.61,8777.28,368.95,109.36,394.44,9650.03,10.55,0,1.8,911.3
2024-01-17,Ligne A,Produit Y1,Jour,OP010,648,21,3.29,98.0,6.55,6624.02,208.1,48.29,128.8,7009.21,11.16,0,14.5,402.4
2024-01-18,Ligne C,Produit Y1,Jour,OP010,620,37,6.02,44.4,4.81,12105.18,188.96,95.51,433.44,12823.1,21.96,1,4.6,795.9
2024-01-19,Ligne A,Produit X1,Jour,OP006,741,28,3.83,82.1,5.74,14314.85,236.68,139.52,324.55,15015.6,21.03,0,6.0,1162.6
2024-01-20,Ligne D,Produit Z1,Soir,OP002,625,16,2.61,2.2,4.56,12811.33,187.31,137.16,196.78,13332.59,21.86,1,8.3,1143.0
2024-01-20,Ligne A,Produit Z1,Soir,OP017,740,25,3.42,43.7,8.14,6271.89,342.2,75.06,127.13,6816.28,9.52,0,12.9,625.5
2024-01-20,Ligne D,Produit X2,Jour,OP009,1243,22,1.82,10.3,13.66,18287.92,450.58,282.26,194.21,19214.98,15.72,0,1.9,2352.2
2024-01-20,Ligne C,Produit X1,Jour,OP004,1476,73,4.98,41.5,16.31,36148.86,734.05,272.93,1072.71,38228.54,27.23,0,8.9,2274.4
2024-01-21,Ligne B,Produit Z1,Jour,OP004,745,17,2.31,32.9,5.6,15414.75,174.1,167.58,211.05,15967.48,21.9,0,9.4,1396.5
2024-01-21,Ligne B,Produit Y2,Soir,OP002,872,29,3.36,100.6,8.8,8763.25,376.89,133.81,174.86,9448.81,11.2,0,13.6,1115.1
2024-01-22,Ligne A,Produit X2,Soir,OP017,208,7,3.57,56.5,1.72,2109.95,49.02,43.39,42.6,2244.96,11.11,1,8.8,361.6
2024-01-22,Ligne A,Produit X2,Nuit,OP001,639,35,5.54,2.1,5.94,11359.68,218.89,117.0,373.32,12068.89,19.95,1,3.7,975.0
2024-01-22,Ligne A,Produit Y2,Soir,OP002,231,4,1.96,7.5,1.72,2686.35,67.33,32.87,27.91,2814.47,12.34,0,3.1,274.0
2024-01-22,Ligne B,Produit Y1,Soir,OP011,483,12,2.6,8.4,4.28,6417.71,143.75,46.39,95.67,6703.51,14.2,1,3.3,386.6
2024-01-23,Ligne A,Produit Z1,Soir,OP016,402,21,5.28,85.5,2.8,5921.66,113.55,86.48,185.6,6307.29,16.51,0,9.1,720.7
2024-01-25,Ligne B,Produit Z1,Jour,OP009,1289,26,2.09,6.2,11.36,18274.03,371.19,214.36,221.16,19080.73,15.1,0,8.4,1786.3
2024-01-26,Ligne A,Produit Z1,Soir,OP007,968,42,4.36,11.9,7.44,19755.42,301.86,162.47,514.29,20734.04,22.37,1,9.9,1353.9
2024-01-26,Ligne B,Produit Y1,Nuit,OP004,456,17,3.84,11.8,3.34,11153.76,116.46,84.89,249.49,11604.6,26.37,0,5.5,707.4
2024-01-26,Ligne A,Produit Z1,Soir,OP012,1174,57,4.9,83.4,9.9,28251.62,318.73,226.77,823.0,29620.12,26.49,0,15.0,1889.7
2024-01-26,Ligne A,Produit Y2,Soir,OP003,699,47,6.79,25.9,6.35,5658.96,224.37,100.97,228.3,6212.6,9.51,0,15.0,841.4
2024-01-27,Ligne B,Produit Y2,Soir,OP016,532,12,2.35,5.1,5.85,6797.16,226.38,122.89,91.99,7238.42,13.89,1,9.4,1024.1
2024-01-27,Ligne D,Produit X1,Nuit,OP012,998,24,2.42,77.1,10.56,11507.57,329.66,210.02,166.04,12213.29,12.53,0,2.7,1750.2
2024-01-27,Ligne A,Produit X2,Jour,OP007,1121,32,2.86,60.0,8.61,21904.78,320.4,155.73,375.18,22756.08,20.88,1,7.7,1297.8
2024-01-27,Ligne B,Produit Y1,Jour,OP017,280,9,3.46,26.9,2.17,4855.73,80.84,20.93,93.65,5051.15,18.57,0,7.7,174.5
2024-01-28,Ligne B,Produit X1,Jour,OP009,1429,32,2.3,23.6,14.62,23484.28,541.93,257.72,315.53,24599.47,17.6,0,10.8,2147.7
2024-01-28,Ligne A,Produit Z1,Jour,OP004,1472,67,4.55,123.7,13.27,17003.7,564.73,128.56,464.37,18161.36,12.92,0,8.3,1071.4
2024-01-28,Ligne D,Produit X2,Soir,OP011,767,22,2.87,11.8,6.2,17227.21,231.08,80.12,296.48,17834.88,23.91,0,6.4,667.6
2024-01-28,Ligne A,Produit Y2,Nuit,OP013,1414,91,6.5,17.8,11.46,18779.85,430.22,116.56,725.16,20051.79,15.14,0,2.1,971.3
2024-01-29,Ligne A,Produit Y2,Soir,OP017,1293,24,1.88,12.4,9.9,19786.3,344.93,129.13,220.36,20480.72,16.13,0,13.4,1076.1
2024-01-29,Ligne A,Produit Z1,Soir,OP016,1194,34,2.92,16.3,8.04,13482.37,358.79,89.16,230.35,14160.67,12.2,0,11.9,743.0
2024-01-30,Ligne A,Produit Y1,Jour,OP012,1351,49,3.69,45.2,16.33,11225.99,492.86,184.6,244.3,12147.75,9.32,0,2.3,1538.3
2024-01-30,Ligne D,Produit Y1,Soir,OP003,498,7,1.57,15.4,4.38,9802.48,164.28,93.57,82.67,10143.01,20.62,1,11.2,779.7
2024-01-30,Ligne D,Produit Z1,Soir,OP017,774,9,1.17,11.0,9.25,14854.29,403.9,162.36,103.63,15524.19,20.27,1,10.1,1353.0
2024-01-30,Ligne A,Produit X1,Jour,OP010,524,14,2.77,5.7,5.93,11193.69,194.89,118.67,179.44,11686.69,22.87,0,6.0,989.0
2024-01-30,Ligne C,Produit Y1,Soir,OP015,1032,61,5.98,14.9,8.94,10520.77,361.13,184.56,373.12,11439.58,11.77,1,4.8,1538.0
2024-01-31,Ligne D,Produit X2,Nuit,OP020,945,29,3.07,28.9,6.89,14053.39,197.58,150.83,258.76,14660.56,15.99,0,1.2,1256.9
2024-02-01,Ligne B,Produit X1,Soir,OP011,387,8,2.23,1.1,2.75,4717.83,119.15,40.32,58.52,4935.82,12.99,1,1.1,336.0
2024-02-01,Ligne D,Produit Y1,Soir,OP016,1193,21,1.77,27.1,9.85,12790.49,298.79,201.78,135.09,13426.15,11.45,1,10.7,1681.5
2024-02-01,Ligne D,Produit X1,Jour,OP018,815,15,1.91,0.4,8.47,9848.87,368.52,73.37,108.76,10399.51,12.98,0,10.7,611.4
2024-02-02,Ligne C,Produit X2,Jour,OP011,910,70,7.69,4.6,10.17,21015.84,428.45,61.17,969.96,22475.43,26.72,1,6.5,509.8
2024-02-02,Ligne B,Produit Y2,Nuit,OP017,820,24,2.93,61.4,7.31,11584.14,251.73,168.09,203.43,12207.39,15.32,1,9.7,1400.7
2024-02-02,Ligne B,Produit Y2,Nuit,OP020,643,31,4.87,64.3,6.65,11974.96,241.98,98.55,346.4,12661.88,20.66,0,3.8,821.2
2024-02-03,Ligne B,Produit X1,Jour,OP001,1469,61,4.2,23.7,12.78,16612.6,499.89,268.83,413.9,17795.21,12.63,0,2.9,2240.2
2024-02-03,Ligne B,Produit Z1,Soir,OP013,1494,29,1.97,6.6,17.75,23343.65,733.55,343.64,271.87,24692.72,16.84,1,8.0,2863.7
2024-02-04,Ligne B,Produit X1,Nuit,OP014,825,50,6.11,103.7,5.92,15571.26,212.21,119.04,566.23,16468.74,21.22,0,3.6,992.0
2024-02-06,Ligne D,Produit Y2,Jour,OP004,392,5,1.31,45.6,3.82,3751.89,147.46,91.01,28.71,4019.08,10.36,1,1.5,758.5
2024-02-06,Ligne B,Produit Z1,Nuit,OP004,306,13,4.34,52.0,2.86,7361.6,106.29,62.63,187.65,7718.17,26.25,1,11.2,521.9
2024-02-07,Ligne D,Produit Y1,Jour,OP010,285,5,1.97,12.7,1.91,4827.4,60.85,61.53,50.81,5000.6,17.8,0,6.4,512.8
2024-02-07,Ligne C,Produit Z1,Jour,OP007,588,12,2.19,96.7,4.71,11371.03,167.85,97.77,139.24,11775.88,20.41,1,14.6,814.7
2024-02-08,Ligne B,Produit Y1,Jour,OP018,919,32,3.59,16.6,6.69,9551.72,268.17,151.68,199.56,10171.12,11.45,0,4.2,1264.0
2024-02-08,Ligne D,Produit Y1,Soir,OP020,636,15,2.48,4.8,4.4,11032.49,155.88,51.42,156.12,11395.91,18.32,0,6.7,428.5
2024-02-08,Ligne B,Produit Y2,Soir,OP007,268,5,1.92,41.1,1.89,3303.14,57.69,27.69,36.98,3425.49,12.98,1,13.7,230.7
