date,secteur,region,canal_vente,representant,taille_client,revenu,marge_pct,rabais_pct,nb_reunions,duree_cycle_jours,score_nps,est_renouvellement,mois,trimestre,annee
2023-01-01,Manufacturier,Québec,Direct,REP20,PME,89275.88,39.2,20.2,7,237,6,0,1,1,2023
2023-01-02,Services,Colombie-Britannique,Direct,REP25,Startup,6526.83,54.9,23.9,1,136,9,0,1,1,2023
2023-01-02,Services,Québec,Direct,REP21,PME,14811.48,43.8,5.8,2,213,5,1,1,1,2023
2023-01-03,Services,Alberta,Direct,REP17,Grande entreprise,209994.9,29.2,18.6,7,294,3,0,1,1,2023
2023-01-03,Manufacturier,Québec,Direct,REP22,PME,50784.5,40.5,10.0,11,236,9,1,1,1,2023
2023-01-03,Manufacturier,Alberta,En ligne,REP08,Startup,70166.64,22.8,18.4,9,250,6,0,1,1,2023
2023-01-04,Services,Ontario,Direct,REP17,Grande entreprise,199856.0,50.2,10.1,1,310,5,0,1,1,2023
2023-01-04,Manufacturier,Québec,Direct,REP11,PME,35062.08,48.1,5.7,1,235,5,0,1,1,2023
2023-01-05,Services,Colombie-Britannique,Revendeur,REP10,PME,11809.88,24.3,11.8,3,247,7,0,1,1,2023
2023-01-06,Services,Maritimes,En ligne,REP25,Startup,22339.41,22.9,23.2,11,144,9,0,1,1,2023
2023-01-06,Manufacturier,Québec,Revendeur,REP08,PME,21967.27,27.1,0.4,3,86,7,0,1,1,2023
2023-01-06,Manufacturier,Québec,Revendeur,REP19,Startup,10680.86,26.8,23.0,10,181,10,1,1,1,2023
2023-01-06,Services,Maritimes,Revendeur,REP03,Startup,7082.48,43.1,18.8,6,258,9,0,1,1,2023
2023-01-06,Manufacturier,Ontario,Revendeur,REP03,Grande entreprise,947531.79,47.6,9.6,11,212,2,0,1,1,2023
2023-01-07,Manufacturier,Ontario,Direct,REP13,PME,36400.63,30.7,22.0,2,323,6,0,1,1,2023
2023-01-07,Manufacturier,Alberta,En ligne,REP17,Grande entreprise,516326.93,28.6,10.2,3,342,4,0,1,1,2023
2023-01-08,Services,Alberta,Direct,REP20,PME,26221.41,51.0,13.6,10,339,6,0,1,1,2023
2023-01-08,Manufacturier,Ontario,Direct,REP06,Grande entreprise,39807.31,41.2,8.5,5,101,3,1,1,1,2023
2023-01-10,Services,Ontario,Revendeur,REP21,Gouvernement,17095.55,37.1,1.4,3,263,8,1,1,1,2023
2023-01-11,Manufacturier,Québec,En ligne,REP08,PME,40811.81,24.0,0.2,11,216,1,1,1,1,2023
2023-01-11,Services,Québec,Revendeur,REP19,PME,38789.63,18.3,16.0,1,145,3,0,1,1,2023
2023-01-11,Manufacturier,Ontario,En ligne,REP14,PME,88072.33,53.4,7.3,2,288,10,1,1,1,2023
