client_id,anciennete_mois,plan,industrie,revenu_mensuel,connexions_30j,tickets_support_6m,adoption_fonctionnalites_pct,nps,retards_paiement,nb_utilisateurs,jours_sans_connexion,type_contrat,mention_concurrent,hausse_prix_annoncee,score_risque_churn,a_churne,raison_depart,cohorte_anciennete,statut_client,tier_risque,segment_engagement,mention_concurrent_txt,hausse_prix_txt
CLI00001,34,Professionnel,Commerce de détail,408.81,41,3,50.0,3,1,33,34,Annuel,0,1,0.02,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00002,36,Démarrage,Finance,230.95,35,19,47.4,5,2,36,72,Annuel,0,0,0.149,1,Passage chez concurrent,25-48 mois,Parti,🟢 Faible,Actif engagé,Non,Non
CLI00003,13,Démarrage,Finance,220.56,2,14,62.6,7,2,153,33,Mensuel,0,0,0.138,1,Prix trop élevé,13-24 mois,Parti,🟢 Faible,Inactif,Non,Non
CLI00004,59,Premium,Commerce de détail,19733.3,6,0,28.2,1,3,186,56,Pluriannuel,0,0,0.19,0,(client actif),48+ mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00005,76,Entreprise,Santé,1669.58,22,7,30.7,7,1,90,76,Mensuel,0,0,0.056,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00006,21,Entreprise,Technologie,4335.06,31,16,5.2,8,3,66,100,Mensuel,1,0,0.309,0,(client actif),13-24 mois,Actif,🟢 Faible,Actif engagé,Oui,Non
CLI00007,65,Professionnel,Commerce de détail,322.71,22,4,12.0,7,0,31,83,Annuel,0,0,0.099,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00008,6,Professionnel,Services professionnels,350.32,15,6,21.1,4,0,104,149,Pluriannuel,1,0,0.457,1,Passage chez concurrent,0-6 mois,Parti,🟡 Moyen,Modéré,Oui,Non
CLI00009,11,Professionnel,Santé,752.64,4,2,62.7,10,1,172,132,Mensuel,0,0,0.378,1,Mauvais service support,7-12 mois,Parti,🟡 Moyen,Très inactif,Non,Non
CLI00010,80,Démarrage,Commerce de détail,180.29,12,5,24.1,0,3,191,177,Annuel,0,1,0.285,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Oui
CLI00011,22,Entreprise,Manufacturier,1921.0,9,12,16.2,5,1,173,11,Annuel,0,1,0.031,0,(client actif),13-24 mois,Actif,🟢 Faible,Inactif,Non,Oui
CLI00012,11,Professionnel,Santé,300.93,55,15,60.5,0,1,83,123,Annuel,0,1,0.105,0,(client actif),7-12 mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00013,37,Professionnel,Services professionnels,763.2,58,16,63.7,10,0,121,133,Pluriannuel,0,1,0.099,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00014,26,Premium,Santé,11611.73,1,5,10.4,3,0,120,60,Annuel,0,0,0.131,0,(client actif),25-48 mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00015,57,Professionnel,Finance,418.55,15,4,74.6,8,1,178,158,Mensuel,0,1,0.187,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Oui
CLI00016,26,Premium,Technologie,19582.36,51,17,59.6,4,1,67,66,Annuel,0,0,0.073,1,Manque de fonctionnalités,25-48 mois,Parti,🟢 Faible,Actif engagé,Non,Non
CLI00017,21,Démarrage,Commerce de détail,169.17,0,3,40.7,6,4,199,105,Mensuel,0,0,0.274,0,(client actif),13-24 mois,Actif,🟢 Faible,Très inactif,Non,Non
CLI00018,57,Premium,Services professionnels,9544.9,5,11,93.5,8,0,87,144,Mensuel,0,1,0.202,0,(client actif),48+ mois,Actif,🟢 Faible,Inactif,Non,Oui
CLI00019,26,Entreprise,Services professionnels,3040.26,53,15,5.9,3,1,129,76,Annuel,0,0,0.02,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00020,15,Professionnel,Commerce de détail,493.04,18,10,54.0,4,4,71,90,Mensuel,0,0,0.066,0,(client actif),13-24 mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00021,63,Professionnel,Technologie,489.93,32,10,19.4,5,1,86,12,Pluriannuel,0,1,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00022,35,Premium,Services professionnels,19493.3,27,5,34.6,0,4,195,26,Pluriannuel,0,1,0.02,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00023,11,Professionnel,Services professionnels,481.8,4,15,17.0,9,1,83,68,Mensuel,0,0,0.09,0,(client actif),7-12 mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00024,73,Démarrage,Technologie,220.09,11,5,65.1,4,3,94,27,Annuel,0,0,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00025,68,Premium,Services professionnels,5560.7,29,8,41.1,9,0,137,53,Annuel,0,1,0.045,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00026,50,Professionnel,Services professionnels,407.04,16,17,93.8,3,1,99,87,Annuel,0,0,0.066,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00027,29,Professionnel,Services professionnels,314.46,18,0,63.8,0,2,163,85,Annuel,0,0,0.14,0,(client actif),25-48 mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00028,64,Démarrage,Finance,205.9,39,17,87.6,3,2,141,176,Mensuel,1,0,0.325,1,Passage chez concurrent,48+ mois,Parti,🟢 Faible,Actif engagé,Oui,Non
CLI00029,41,Démarrage,Technologie,197.32,41,18,26.7,4,4,154,37,Pluriannuel,0,0,0.108,1,Prix trop élevé,25-48 mois,Parti,🟢 Faible,Actif engagé,Non,Non
CLI00030,26,Entreprise,Manufacturier,2322.69,24,8,33.7,8,0,173,45,Annuel,0,0,0.02,0,(client actif),25-48 mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00031,28,Professionnel,Finance,789.2,34,13,37.6,0,4,179,131,Pluriannuel,0,0,0.241,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00032,48,Premium,Santé,14385.92,8,11,80.5,5,0,92,134,Annuel,0,0,0.297,0,(client actif),25-48 mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00033,66,Entreprise,Technologie,3400.37,31,9,24.1,7,2,153,134,Mensuel,0,0,0.133,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00034,23,Premium,Santé,10042.87,38,8,90.2,8,2,56,77,Pluriannuel,0,1,0.02,0,(client actif),13-24 mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00035,39,Professionnel,Finance,528.0,55,11,8.9,10,4,39,157,Pluriannuel,0,0,0.113,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00036,69,Démarrage,Services professionnels,273.69,37,4,85.1,4,3,131,161,Pluriannuel,0,0,0.153,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00037,21,Professionnel,Manufacturier,679.78,14,18,45.6,1,2,53,17,Pluriannuel,0,1,0.02,0,(client actif),13-24 mois,Actif,🟢 Faible,Modéré,Non,Oui
CLI00038,49,Professionnel,Manufacturier,489.56,44,9,52.3,0,0,161,11,Mensuel,0,0,0.02,1,Mauvais service support,48+ mois,Parti,🟢 Faible,Actif engagé,Non,Non
CLI00039,75,Entreprise,Technologie,3171.88,45,1,94.8,4,1,62,123,Pluriannuel,0,1,0.18,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00040,36,Entreprise,Manufacturier,2066.08,36,5,83.3,10,1,105,66,Annuel,0,0,0.053,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00041,81,Professionnel,Services professionnels,428.71,25,4,86.4,2,1,195,34,Annuel,0,0,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00042,37,Démarrage,Commerce de détail,155.44,55,0,57.7,5,2,69,144,Mensuel,0,1,0.242,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00043,42,Démarrage,Services professionnels,224.78,59,17,91.1,8,3,132,169,Annuel,0,0,0.109,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00044,62,Démarrage,Finance,202.17,30,14,66.9,10,2,59,124,Pluriannuel,0,0,0.168,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00045,6,Entreprise,Services professionnels,1657.0,29,1,78.7,0,0,145,37,Annuel,0,0,0.02,0,(client actif),0-6 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00046,8,Démarrage,Manufacturier,280.58,1,14,69.9,3,2,150,150,Mensuel,1,0,0.378,1,Prix trop élevé,7-12 mois,Parti,🟡 Moyen,Très inactif,Oui,Non
